User ID,City,Age,Gender,Device,Platform,First Access,Last Active,Orders,Total Spend (₹),Watched Video,Saved Recipe
U1075,Delhi,34,M,Android,App,16-03-2024,16-04-2025,1,1355,Yes,Yes
U1076,Mumbai,29,M,Android,App,17-03-2024,26-04-2025,3,294,No,Yes
U1077,Bangalore,43,M,iPhone,Web,18-03-2024,28-04-2025,0,641,Yes,Yes
U1078,Kolkata,44,M,Android,App,19-03-2024,19-04-2025,1,458,Yes,Yes
U1079,Delhi,29,M,Android,Web,20-03-2024,22-04-2025,1,949,No,Yes
U1080,Delhi,27,M,Android,Web,21-03-2024,11-05-2025,2,1454,Yes,No
U1081,Mumbai,43,F,Android,App,22-03-2024,09-05-2025,2,526,No,No
U1082,Chennai,35,F,iPhone,App,23-03-2024,28-04-2025,0,596,Yes,Yes
U1083,Hyderabad,36,F,Android,App,24-03-2024,10-05-2025,3,927,No,Yes
U1084,Hyderabad,24,F,iPhone,App,25-03-2024,08-05-2025,1,585,No,Yes
U1085,Delhi,23,F,Android,App,26-03-2024,21-04-2025,0,429,Yes,No
U1086,Pune,37,M,Android,App,27-03-2024,04-05-2025,3,988,No,Yes
U1087,Pune,43,M,Android,App,28-03-2024,11-05-2025,2,1090,Yes,Yes
U1088,Mumbai,38,M,Android,App,29-03-2024,02-05-2025,0,1270,No,No
U1089,Hyderabad,23,M,Android,Web,30-03-2024,14-05-2025,3,358,Yes,Yes
U1090,Delhi,26,F,iPhone,App,31-03-2024,15-04-2025,2,391,No,Yes
U1091,Chennai,29,M,Android,App,01-04-2024,11-05-2025,1,242,Yes,No
U1092,Hyderabad,44,M,Android,App,02-04-2024,20-04-2025,2,846,No,No
U1093,Delhi,37,F,Android,Web,03-04-2024,24-04-2025,2,726,Yes,Yes
U1094,Delhi,38,M,Android,App,04-04-2024,30-04-2025,3,1488,No,No
U1095,Bangalore,23,M,Android,App,05-04-2024,08-05-2025,5,189,No,Yes
U1096,Chennai,29,F,Android,App,06-04-2024,15-04-2025,2,819,Yes,No
U1097,Bangalore,20,M,Android,App,07-04-2024,24-04-2025,0,1287,No,Yes
U1098,Mumbai,42,M,Android,App,08-04-2024,21-04-2025,2,580,No,No
U1099,Bangalore,37,M,Android,Web,09-04-2024,09-05-2025,0,183,Yes,No
U1100,Kolkata,24,M,iPhone,App,10-04-2024,21-04-2025,2,1200,Yes,No
U1101,Bangalore,34,M,iPhone,App,11-04-2024,06-05-2025,3,772,Yes,No
U1102,Kolkata,36,F,Android,App,12-04-2024,20-04-2025,0,616,Yes,No
U1103,Hyderabad,22,F,Android,App,13-04-2024,24-04-2025,2,584,Yes,Yes
U1104,Pune,31,F,iPhone,App,14-04-2024,19-04-2025,1,881,Yes,Yes
U1105,Delhi,21,F,Android,App,15-04-2024,12-05-2025,2,203,Yes,No
U1106,Kolkata,20,F,iPhone,App,16-04-2024,26-04-2025,3,438,Yes,No
U1107,Chennai,42,F,Android,App,17-04-2024,10-05-2025,4,786,Yes,Yes
U1108,Bangalore,40,M,Android,App,18-04-2024,17-04-2025,0,999,No,No
U1109,Kolkata,36,F,iPhone,App,19-04-2024,15-05-2025,0,706,No,No
U1110,Chennai,41,F,iPhone,App,20-04-2024,06-05-2025,1,322,Yes,No
U1111,Pune,35,M,Android,App,21-04-2024,25-04-2025,1,1132,No,No
U1112,Pune,24,M,Android,App,22-04-2024,21-04-2025,6,1176,No,Yes
U1113,Bangalore,34,F,Android,Web,23-04-2024,25-04-2025,3,1200,No,Yes
U1114,Mumbai,22,M,Android,App,24-04-2024,24-04-2025,1,602,Yes,Yes
U1115,Bangalore,26,F,Android,App,25-04-2024,05-05-2025,3,1439,Yes,Yes
U1116,Hyderabad,30,M,Android,App,26-04-2024,11-05-2025,2,921,No,No
U1117,Kolkata,29,F,iPhone,App,27-04-2024,16-04-2025,1,723,No,No
U1118,Delhi,28,M,Android,App,28-04-2024,28-04-2025,2,264,No,No
U1119,Mumbai,33,M,Android,App,29-04-2024,03-05-2025,3,1402,No,No
U1120,Bangalore,32,F,Android,App,30-04-2024,06-05-2025,1,1150,Yes,Yes
U1121,Chennai,44,F,Android,Web,01-05-2024,30-04-2025,6,1193,Yes,Yes
U1122,Mumbai,44,F,Android,App,02-05-2024,05-05-2025,2,1341,Yes,Yes
U1123,Kolkata,21,F,Android,App,03-05-2024,13-05-2025,0,1488,Yes,Yes
U1124,Mumbai,22,F,Android,App,04-05-2024,11-05-2025,2,1429,No,No
U1125,Kolkata,26,M,iPhone,App,05-05-2024,18-04-2025,3,1247,Yes,Yes
U1126,Bangalore,40,F,iPhone,App,06-05-2024,03-05-2025,1,118,Yes,Yes
U1127,Kolkata,37,F,Android,App,07-05-2024,07-05-2025,3,1380,No,Yes
U1128,Mumbai,22,M,iPhone,App,08-05-2024,21-04-2025,0,1419,Yes,No
U1129,Chennai,29,M,Android,App,09-05-2024,27-04-2025,1,1145,No,Yes
U1130,Pune,41,F,Android,App,10-05-2024,12-05-2025,2,1088,No,Yes
U1131,Mumbai,26,M,Android,App,11-05-2024,20-04-2025,1,549,Yes,Yes
U1132,Kolkata,28,M,Android,App,12-05-2024,13-05-2025,1,651,Yes,No
U1133,Pune,36,F,Android,App,13-05-2024,10-05-2025,3,1171,Yes,Yes
U1134,Kolkata,30,M,iPhone,App,14-05-2024,13-05-2025,3,794,Yes,No
U1135,Chennai,26,M,Android,App,15-05-2024,02-05-2025,1,686,Yes,No
U1136,Kolkata,43,F,iPhone,App,16-05-2024,26-04-2025,0,820,Yes,No
U1137,Bangalore,33,F,Android,App,17-05-2024,10-05-2025,2,1306,No,No
U1138,Delhi,38,M,Android,Web,18-05-2024,21-04-2025,5,206,Yes,Yes
U1139,Mumbai,23,M,iPhone,App,19-05-2024,27-04-2025,0,1311,No,Yes
U1140,Delhi,25,F,Android,App,20-05-2024,24-04-2025,1,875,Yes,Yes
U1141,Kolkata,29,M,Android,App,21-05-2024,26-04-2025,2,1209,Yes,No
U1142,Chennai,26,M,Android,App,22-05-2024,03-05-2025,1,1260,No,Yes
U1143,Mumbai,32,M,Android,App,23-05-2024,08-05-2025,3,997,Yes,Yes
U1144,Kolkata,33,F,Android,App,24-05-2024,27-04-2025,2,435,Yes,No
U1145,Pune,23,M,Android,App,25-05-2024,13-05-2025,2,706,No,No
U1146,Hyderabad,27,M,Android,App,26-05-2024,01-05-2025,4,937,No,Yes
U1147,Kolkata,24,F,iPhone,App,27-05-2024,04-05-2025,4,701,No,No
U1148,Delhi,20,M,Android,App,28-05-2024,17-04-2025,0,502,Yes,No
U1149,Mumbai,23,M,Android,App,29-05-2024,17-04-2025,3,639,Yes,Yes
U1150,Delhi,22,F,Android,App,30-05-2024,08-05-2025,3,1195,No,Yes
U1151,Mumbai,28,F,iPhone,App,31-05-2024,19-04-2025,1,123,No,No
U1152,Kolkata,27,F,Android,App,01-06-2024,13-05-2025,4,723,Yes,No
U1153,Bangalore,20,F,Android,App,02-06-2024,09-05-2025,3,1179,No,Yes
U1154,Pune,25,M,Android,App,03-06-2024,03-05-2025,1,1085,Yes,Yes
U1155,Kolkata,28,M,Android,App,04-06-2024,30-04-2025,1,322,Yes,No
U1156,Delhi,26,F,iPhone,App,05-06-2024,03-05-2025,1,278,Yes,No
U1157,Hyderabad,23,F,Android,App,06-06-2024,27-04-2025,1,899,Yes,No
U1158,Hyderabad,32,M,Android,App,07-06-2024,13-05-2025,1,533,Yes,Yes
U1159,Chennai,36,F,Android,App,08-06-2024,15-04-2025,1,892,Yes,Yes
U1160,Mumbai,21,M,Android,App,09-06-2024,15-04-2025,1,983,Yes,No
U1161,Delhi,24,F,iPhone,App,10-06-2024,13-05-2025,6,591,No,Yes
U1162,Chennai,31,M,iPhone,App,11-06-2024,05-05-2025,2,1312,No,No
U1163,Delhi,40,F,Android,App,12-06-2024,12-05-2025,0,909,No,No
U1164,Mumbai,27,F,iPhone,App,13-06-2024,08-05-2025,2,1060,No,Yes
U1165,Kolkata,25,M,Android,App,14-06-2024,15-05-2025,1,519,Yes,No
U1166,Kolkata,27,F,Android,App,15-06-2024,18-04-2025,2,1372,Yes,Yes
U1167,Hyderabad,37,M,Android,App,16-06-2024,12-05-2025,3,748,No,No
U1168,Kolkata,22,M,Android,App,17-06-2024,15-05-2025,2,1287,Yes,Yes
U1169,Kolkata,41,M,Android,Web,18-06-2024,21-04-2025,1,1378,Yes,Yes
U1170,Bangalore,31,M,iPhone,App,19-06-2024,13-05-2025,4,575,Yes,No
U1171,Hyderabad,22,M,Android,App,20-06-2024,19-04-2025,2,269,No,No
U1172,Chennai,41,F,iPhone,App,21-06-2024,14-05-2025,5,1440,Yes,Yes
U1173,Pune,25,F,Android,App,22-06-2024,10-05-2025,0,273,No,No
U1174,Bangalore,21,M,iPhone,App,23-06-2024,07-05-2025,1,569,Yes,Yes
U1175,Chennai,42,F,Android,App,24-06-2024,21-04-2025,0,444,No,Yes
U1176,Mumbai,31,M,Android,App,25-06-2024,15-04-2025,2,544,No,Yes
U1177,Bangalore,21,F,Android,App,26-06-2024,04-05-2025,1,1141,No,Yes
U1178,Chennai,25,F,iPhone,App,27-06-2024,16-04-2025,2,1193,Yes,Yes
U1179,Mumbai,36,F,Android,App,28-06-2024,06-05-2025,2,1461,Yes,Yes
U1180,Hyderabad,22,F,iPhone,App,29-06-2024,04-05-2025,2,727,No,Yes
U1181,Pune,21,M,Android,App,30-06-2024,08-05-2025,3,691,Yes,Yes
U1182,Mumbai,42,M,Android,App,01-07-2024,09-05-2025,1,626,Yes,Yes
U1183,Kolkata,39,F,iPhone,App,02-07-2024,29-04-2025,1,555,Yes,No
U1184,Delhi,27,F,Android,Web,03-07-2024,15-04-2025,3,1392,No,Yes
U1185,Mumbai,41,M,Android,App,04-07-2024,09-05-2025,2,910,Yes,No
U1186,Mumbai,31,F,Android,App,05-07-2024,13-05-2025,5,287,No,No
U1187,Pune,23,M,iPhone,App,06-07-2024,05-05-2025,2,1120,Yes,No
U1188,Delhi,24,M,Android,App,07-07-2024,22-04-2025,0,810,Yes,No
U1189,Kolkata,32,M,iPhone,App,08-07-2024,12-05-2025,1,628,No,No
U1190,Chennai,34,F,Android,App,09-07-2024,24-04-2025,2,533,Yes,Yes
U1191,Chennai,44,M,iPhone,App,10-07-2024,28-04-2025,2,387,Yes,No
U1192,Mumbai,42,F,iPhone,App,11-07-2024,10-05-2025,4,598,No,No
U1193,Delhi,35,M,Android,App,12-07-2024,19-04-2025,2,402,No,No
U1194,Delhi,29,F,Android,App,13-07-2024,08-05-2025,2,186,Yes,No
U1195,Kolkata,44,F,Android,App,14-07-2024,12-05-2025,1,929,No,Yes
U1196,Pune,42,F,Android,App,15-07-2024,05-05-2025,3,537,No,No
U1197,Hyderabad,35,M,Android,App,16-07-2024,27-04-2025,3,640,No,No
U1198,Chennai,31,M,Android,Web,17-07-2024,09-05-2025,4,1145,Yes,Yes
U1199,Pune,36,F,Android,App,18-07-2024,14-05-2025,5,932,Yes,Yes
U1200,Bangalore,35,F,Android,App,19-07-2024,01-05-2025,0,896,No,No
U1201,Chennai,31,F,Android,App,20-07-2024,17-04-2025,0,659,No,No
U1202,Pune,27,M,Android,App,21-07-2024,29-04-2025,3,861,Yes,Yes
U1203,Chennai,39,M,iPhone,App,22-07-2024,18-04-2025,0,566,Yes,No
U1204,Hyderabad,22,M,Android,Web,23-07-2024,01-05-2025,2,1224,Yes,Yes
U1205,Bangalore,35,M,Android,App,24-07-2024,18-04-2025,4,774,Yes,Yes
U1206,Hyderabad,32,F,Android,App,25-07-2024,10-05-2025,3,784,Yes,Yes
U1207,Kolkata,42,F,iPhone,App,26-07-2024,08-05-2025,0,1264,Yes,Yes
U1208,Bangalore,38,M,iPhone,App,27-07-2024,19-04-2025,0,237,No,Yes
U1209,Mumbai,27,M,iPhone,App,28-07-2024,28-04-2025,2,677,Yes,Yes
U1210,Pune,41,F,iPhone,App,29-07-2024,13-05-2025,2,809,No,No
U1211,Bangalore,24,M,Android,App,30-07-2024,27-04-2025,1,327,Yes,No
U1212,Kolkata,39,M,iPhone,App,31-07-2024,03-05-2025,2,380,Yes,Yes
U1213,Kolkata,27,M,Android,App,01-08-2024,23-04-2025,0,783,Yes,Yes
U1214,Hyderabad,43,M,Android,App,02-08-2024,17-04-2025,3,927,Yes,Yes
U1215,Chennai,31,M,iPhone,Web,03-08-2024,25-04-2025,0,530,No,No
U1216,Bangalore,20,M,Android,App,04-08-2024,22-04-2025,0,1163,No,Yes
U1217,Pune,44,F,Android,App,05-08-2024,09-05-2025,1,1334,Yes,Yes
U1218,Bangalore,40,M,Android,App,06-08-2024,15-04-2025,2,401,Yes,No
U1219,Delhi,39,M,Android,App,07-08-2024,15-05-2025,1,1209,Yes,No
U1220,Chennai,25,F,Android,Web,08-08-2024,24-04-2025,4,1376,No,Yes
U1221,Pune,41,F,Android,App,09-08-2024,16-04-2025,5,632,No,Yes
U1222,Pune,37,F,Android,App,10-08-2024,03-05-2025,1,868,Yes,Yes
U1223,Mumbai,27,M,Android,App,11-08-2024,26-04-2025,2,543,No,No
U1224,Hyderabad,26,F,iPhone,App,12-08-2024,07-05-2025,3,1156,No,No
U1225,Mumbai,20,M,Android,App,13-08-2024,08-05-2025,3,359,Yes,Yes
U1226,Pune,40,M,Android,App,14-08-2024,23-04-2025,2,1357,Yes,No
U1227,Chennai,35,M,iPhone,App,15-08-2024,15-05-2025,0,1431,No,Yes
U1228,Bangalore,31,F,iPhone,App,16-08-2024,20-04-2025,0,838,No,Yes
U1229,Bangalore,25,F,Android,App,17-08-2024,08-05-2025,0,895,Yes,Yes
U1230,Chennai,39,F,Android,Web,18-08-2024,02-05-2025,3,169,Yes,Yes
U1231,Pune,21,F,iPhone,App,19-08-2024,02-05-2025,1,1487,Yes,Yes
U1232,Kolkata,33,F,iPhone,App,20-08-2024,14-05-2025,5,1082,Yes,Yes
U1233,Bangalore,23,M,Android,App,21-08-2024,03-05-2025,2,580,No,Yes
U1234,Kolkata,20,M,Android,App,22-08-2024,17-04-2025,3,1267,Yes,Yes
U1235,Bangalore,42,M,Android,App,23-08-2024,14-05-2025,4,123,No,No
U1236,Bangalore,37,M,Android,App,24-08-2024,19-04-2025,0,1064,No,Yes
U1237,Hyderabad,32,F,Android,Web,25-08-2024,13-05-2025,0,845,Yes,Yes
U1238,Hyderabad,21,F,Android,App,26-08-2024,10-05-2025,0,944,Yes,No
U1239,Delhi,28,M,Android,App,27-08-2024,03-05-2025,1,1298,Yes,No
U1240,Mumbai,40,F,Android,App,28-08-2024,30-04-2025,1,424,No,No
U1241,Chennai,21,F,Android,App,29-08-2024,16-04-2025,1,1471,Yes,Yes
U1242,Chennai,44,M,iPhone,App,30-08-2024,04-05-2025,1,897,No,Yes
U1243,Chennai,28,M,Android,App,31-08-2024,29-04-2025,2,117,No,No
U1244,Delhi,20,F,Android,App,01-09-2024,30-04-2025,1,143,Yes,No
U1245,Hyderabad,30,F,iPhone,App,02-09-2024,05-05-2025,1,254,No,Yes
U1246,Pune,22,M,Android,App,03-09-2024,26-04-2025,3,966,No,No
U1247,Kolkata,39,M,Android,App,04-09-2024,30-04-2025,1,1021,Yes,Yes
U1248,Kolkata,42,M,Android,App,05-09-2024,01-05-2025,2,842,Yes,No
U1249,Pune,23,F,Android,App,06-09-2024,12-05-2025,1,324,No,No
U1250,Delhi,37,M,iPhone,App,07-09-2024,15-05-2025,2,316,No,No
U1251,Pune,42,M,Android,App,08-09-2024,06-05-2025,3,130,Yes,No
U1252,Chennai,25,F,Android,App,09-09-2024,13-05-2025,3,1182,Yes,No
U1253,Mumbai,22,F,Android,App,10-09-2024,07-05-2025,0,997,Yes,Yes
U1254,Bangalore,41,F,Android,App,11-09-2024,28-04-2025,2,1476,No,Yes
U1255,Kolkata,30,F,iPhone,Web,12-09-2024,08-05-2025,0,1034,Yes,Yes
U1256,Hyderabad,34,F,Android,App,13-09-2024,03-05-2025,3,544,Yes,Yes
U1257,Hyderabad,41,M,Android,App,14-09-2024,02-05-2025,3,1358,No,No
U1258,Delhi,24,M,Android,App,15-09-2024,20-04-2025,1,1230,Yes,Yes
U1259,Hyderabad,39,F,Android,App,16-09-2024,27-04-2025,0,1314,No,Yes
U1260,Chennai,29,F,Android,App,17-09-2024,20-04-2025,1,629,Yes,No
U1261,Kolkata,31,F,Android,App,18-09-2024,12-05-2025,1,837,No,No
U1262,Pune,34,F,Android,App,19-09-2024,08-05-2025,1,973,Yes,Yes
U1263,Chennai,36,F,Android,App,20-09-2024,12-05-2025,2,665,No,Yes
U1264,Delhi,29,M,Android,Web,21-09-2024,26-04-2025,4,1368,No,Yes
U1265,Chennai,25,M,Android,App,22-09-2024,03-05-2025,2,175,Yes,No
U1266,Pune,37,M,Android,App,23-09-2024,03-05-2025,3,646,Yes,Yes
U1267,Mumbai,32,M,iPhone,App,24-09-2024,21-04-2025,2,366,Yes,No
U1268,Delhi,22,F,Android,App,25-09-2024,03-05-2025,3,416,Yes,Yes
U1269,Mumbai,43,M,Android,App,26-09-2024,25-04-2025,3,1244,No,Yes
U1270,Bangalore,29,F,Android,App,27-09-2024,23-04-2025,0,124,No,No
U1271,Mumbai,33,F,Android,App,28-09-2024,14-05-2025,1,259,Yes,Yes
U1272,Bangalore,25,F,Android,App,29-09-2024,14-05-2025,2,695,No,Yes
U1273,Bangalore,22,M,Android,App,30-09-2024,07-05-2025,3,1237,No,Yes
U1274,Mumbai,35,F,Android,App,01-10-2024,15-04-2025,0,999,No,Yes
U1275,Delhi,26,M,Android,App,02-10-2024,13-05-2025,1,601,Yes,No
U1276,Pune,39,M,iPhone,App,03-10-2024,11-05-2025,4,1289,Yes,Yes
U1277,Chennai,33,F,iPhone,App,04-10-2024,23-04-2025,2,1112,Yes,Yes
U1278,Chennai,28,F,Android,App,05-10-2024,08-05-2025,1,802,Yes,Yes
U1279,Pune,34,F,Android,App,06-10-2024,03-05-2025,1,1298,Yes,No
U1280,Kolkata,40,M,Android,App,07-10-2024,02-05-2025,1,100,Yes,No
U1281,Kolkata,22,F,Android,App,08-10-2024,07-05-2025,3,840,Yes,No
U1282,Bangalore,21,M,iPhone,Web,09-10-2024,02-05-2025,1,1209,No,No
U1283,Bangalore,21,F,Android,App,10-10-2024,25-04-2025,2,419,Yes,Yes
U1284,Delhi,22,F,Android,App,11-10-2024,25-04-2025,5,481,Yes,Yes
U1285,Hyderabad,37,M,Android,App,12-10-2024,01-05-2025,0,1441,Yes,Yes
U1286,Mumbai,33,M,Android,App,13-10-2024,12-05-2025,3,1373,Yes,Yes
U1287,Bangalore,39,M,Android,App,14-10-2024,10-05-2025,2,997,Yes,Yes
U1288,Chennai,37,M,Android,App,15-10-2024,19-04-2025,1,816,Yes,No
U1289,Delhi,29,M,Android,App,16-10-2024,10-05-2025,1,1379,Yes,No
U1290,Mumbai,44,M,Android,App,17-10-2024,02-05-2025,3,406,Yes,No
U1291,Delhi,21,F,Android,App,18-10-2024,28-04-2025,1,1267,Yes,Yes
U1292,Mumbai,44,F,Android,Web,19-10-2024,16-04-2025,1,490,Yes,No
U1293,Mumbai,41,M,Android,App,20-10-2024,18-04-2025,1,1292,No,No
U1294,Pune,20,F,Android,App,21-10-2024,19-04-2025,2,1089,Yes,No
U1295,Bangalore,23,M,Android,App,22-10-2024,26-04-2025,1,397,Yes,Yes
U1296,Delhi,33,F,Android,App,23-10-2024,01-05-2025,2,332,Yes,Yes
U1297,Delhi,20,F,Android,App,24-10-2024,16-04-2025,3,370,Yes,Yes
U1298,Pune,33,M,iPhone,App,25-10-2024,22-04-2025,2,1183,Yes,Yes
U1299,Chennai,35,M,Android,App,26-10-2024,06-05-2025,3,1419,Yes,No
U1300,Chennai,41,M,Android,App,27-10-2024,13-05-2025,2,1358,No,Yes
U1301,Kolkata,33,F,Android,App,28-10-2024,29-04-2025,1,776,Yes,Yes
U1302,Bangalore,39,M,Android,App,29-10-2024,08-05-2025,2,805,Yes,No
U1303,Bangalore,22,F,Android,App,30-10-2024,17-04-2025,3,333,No,No
U1304,Hyderabad,22,M,Android,App,31-10-2024,02-05-2025,2,1491,No,Yes
U1305,Pune,28,F,iPhone,App,01-11-2024,25-04-2025,0,944,Yes,No
U1306,Chennai,25,F,Android,App,02-11-2024,13-05-2025,3,1355,Yes,Yes
U1307,Mumbai,44,M,Android,App,03-11-2024,05-05-2025,1,590,Yes,Yes
U1308,Delhi,32,F,Android,Web,04-11-2024,29-04-2025,1,602,Yes,Yes
U1309,Bangalore,40,F,Android,App,05-11-2024,09-05-2025,4,989,Yes,No
U1310,Delhi,21,M,iPhone,App,06-11-2024,13-05-2025,3,691,Yes,No
U1311,Delhi,27,F,Android,App,07-11-2024,03-05-2025,3,845,No,Yes
U1312,Hyderabad,40,M,Android,App,08-11-2024,30-04-2025,2,527,Yes,No
U1313,Chennai,21,M,iPhone,App,09-11-2024,05-05-2025,1,796,Yes,Yes
U1314,Bangalore,23,M,Android,Web,10-11-2024,06-05-2025,1,745,Yes,No
U1315,Delhi,44,M,Android,App,11-11-2024,30-04-2025,0,831,No,Yes
U1316,Bangalore,34,F,Android,App,12-11-2024,06-05-2025,4,899,Yes,Yes
